gene_id,gene_symbol,pseudobulk_target,pseudobulk_other,cpm_target,cpm_other,log2_fold_change,pct_expressed_target,pct_expressed_other
ENSG00000165023,DIRAS2,900.0,66670.0,311.08286,138.21321,1.1646329,85.98130841121495,36.80749302510961
ENSG00000175985,PLEKHD1,45.0,3083.0,15.554142,6.3913507,1.1632824,28.971962616822427,6.667425838410295
ENSG00000147246,HTR2C,167.0,12171.0,57.723152,25.231634,1.1626216,11.214953271028037,4.327278938677902
ENSG00000283674,LOC729732,1976.0,146910.0,682.9997,304.55832,1.162548,95.32710280373831,62.07937140579628
ENSG00000255367,LOC101927708,66.0,4673.0,22.812742,9.687571,1.1557999,38.31775700934579,9.408984797585834
ENSG00000237505,PKN2-AS1,1101.0,82362.0,380.558,170.74422,1.1516409,69.1588785046729,36.74201446222172
ENSG00000226762,LOC124902537,34.0,2292.0,11.752019,4.7515326,1.1487073,23.364485981308412,5.278141547571599
ENSG00000183662,TAFA1,2883.0,216660.0,996.502,449.15668,1.1478926,73.83177570093457,41.4251551557251
ENSG00000268401,ENSG00000268401,58.0,4109.0,20.04756,8.518346,1.1448703,35.51401869158878,9.799009280874566
ENSG00000286664,ENSG00000286664,76.0,5484.0,26.269217,11.368851,1.1405617,26.168224299065418,8.02824118886295
ENSG00000147862,NFIB,1888.0,142655.0,652.5827,295.73734,1.1391833,98.13084112149532,70.07344986619599
ENSG00000104722,NEFM,490.0,37007.0,169.36732,76.71902,1.1323091,74.76635514018692,29.305927233388374
ENSG00000228999,LINC01830,167.0,12455.0,57.723152,25.820393,1.130599,25.233644859813083,12.671525365825884
ENSG00000158457,TSPAN33,32.0,2175.0,11.060723,4.5089808,1.1304592,20.5607476635514,5.40340488527017
ENSG00000197077,KIAA1671,421.0,31839.0,145.51764,66.005264,1.128728,83.17757009345794,39.68000911006092
ENSG00000185437,SH3BGR,80.0,5856.0,27.651808,12.140041,1.1246563,33.64485981308411,12.270113306382736
ENSG00000135272,MDFIC,168.0,12600.0,58.068798,26.12099,1.1229864,28.037383177570092,15.156863861527073
ENSG00000119125,GDA,533.0,40596.0,184.23018,84.15935,1.1210824,80.37383177570094,33.67021579456812
ENSG00000150361,KLHL1,160.0,12042.0,55.303616,24.964205,1.1167036,22.429906542056074,10.248818538973978
ENSG00000147400,CETN2,70.0,5139.0,24.195333,10.653633,1.1123768,42.05607476635514,11.114274326709559
ENSG00000150275,PCDH15,1513.0,116855.0,522.9648,242.25146,1.1070213,56.074766355140184,28.97568752491032
ENSG00000163873,GRIK3,368.0,28315.0,127.19832,58.699673,1.1025823,82.2429906542056,26.504583499402152
ENSG00000090006,LTBP4,79.0,5883.0,27.306162,12.196015,1.1010137,46.728971962616825,13.400330239708477
ENSG00000127334,DYRK2,89.0,6671.0,30.762636,13.829614,1.0988495,52.336448598130836,14.610260206115127
ENSG00000127863,TNFRSF19,68.0,5050.0,23.504038,10.469128,1.0952638,35.51401869158878,10.069464214541934
ENSG00000255929,PIWIL4-AS1,365.0,28259.0,126.16138,58.58358,1.0936738,71.96261682242991,25.636280817627966
ENSG00000154146,NRGN,2652.0,207290.0,916.6575,429.73175,1.0911661,90.65420560747664,45.59585492227979
ENSG00000225764,P3H2-AS1,74.0,5536.0,25.577923,11.476652,1.0909976,40.18691588785047,11.53276775038433
ENSG00000110013,SIAE,95.0,7181.0,32.836525,14.886892,1.0907445,44.85981308411215,15.595285543472073
ENSG00000283384,ENSG00000283384,61.0,4528.0,21.084505,9.386972,1.0882593,17.75700934579439,5.2126629846837105
ENSG00000270087,ENSG00000270087,72.0,5414.0,24.886627,11.223734,1.082522,27.102803738317753,8.426806354267494
ENSG00000267121,FMNL1-DT,133.0,10222.0,45.97113,21.191174,1.0817883,60.747663551401864,19.020099071912544
ENSG00000171811,CFAP46,183.0,14170.0,63.25351,29.375751,1.0808551,59.813084112149525,23.287593235779763
ENSG00000232023,LINC01807,53.0,3935.0,18.319323,8.157627,1.0769987,29.906542056074763,6.7357512953367875
ENSG00000288102,ENSG00000288102,81.0,6166.0,27.997456,12.7827015,1.0730675,32.71028037383177,9.02465410237431
ENSG00000164620,RELL2,99.0,7596.0,34.219112,15.747226,1.0724363,52.336448598130836,14.61880088823094
ENSG00000099715,PCDH11Y,349.0,27529.0,120.63101,57.07022,1.0666407,43.925233644859816,15.418778113078632
ENSG00000131969,ABHD12B,53.0,3968.0,18.319323,8.22604,1.066261,34.57943925233645,9.161305016227296
ENSG00000135424,ITGA7,124.0,9633.0,42.860302,19.970121,1.0645804,46.728971962616825,18.242896999373684
ENSG00000196482,ESRRG,2358.0,188948.0,815.03705,391.7071,1.055181,98.13084112149532,70.34390479986334
ENSG00000261220,ST3GAL1-DT,30.0,2160.0,10.369429,4.4778843,1.0534691,20.5607476635514,5.579912315663611
ENSG00000228824,MIR4500HG,418.0,33337.0,144.4807,69.110756,1.05312,72.89719626168224,29.26607071684792
ENSG00000155265,GOLGA7B,196.0,15509.0,67.746925,32.151623,1.0522156,74.76635514018692,25.576496042817286
ENSG00000253554,LINC01414,734.0,58956.0,253.70534,122.22136,1.0475768,78.50467289719626,38.69213687866538
ENSG00000166573,GALR1,49.0,3710.0,16.936731,7.691181,1.0452929,14.018691588785046,5.9443147526049085
ENSG00000068831,RASGRP2,46.0,3477.0,15.89979,7.20815,1.0418763,32.71028037383177,8.099413539828047
ENSG00000126583,PRKCG,218.0,17416.0,75.35118,36.105015,1.0410362,65.42056074766354,22.436371918237203
ENSG00000065989,PDE4A,304.0,24387.0,105.076866,50.556557,1.0408823,81.30841121495327,33.2118658543529
ENSG00000286717,ENSG00000286717,56.0,4311.0,19.356266,8.937111,1.0345746,39.25233644859813,9.631042532596936
ENSG00000175040,CHST2,53.0,4071.0,18.319323,8.439568,1.0332518,31.775700934579437,8.651710983317201
ENSG00000206337,HCP5,55.0,4239.0,19.010618,8.7878475,1.0317022,32.71028037383177,8.546375903888856
ENSG00000128294,TPST2,151.0,12125.0,52.192787,25.136272,1.0251772,58.87850467289719,22.402209189773956
ENSG00000162878,PKDCC,122.0,9790.0,42.16901,20.295597,1.0194409,52.336448598130836,18.51904572111826
ENSG00000132819,RBM38,31.0,2315.0,10.7150755,4.799214,1.014437,23.364485981308412,6.072424984342082
ENSG00000165810,BTNL9,38.0,2894.0,13.134608,5.999536,1.0139008,11.214953271028037,3.165746170927518
ENSG00000122691,TWIST1,61.0,4807.0,21.084505,9.965365,1.0100806,15.887850467289718,4.637590388885726
ENSG00000182175,RGMA,174.0,14162.0,60.142685,29.359165,1.0100478,63.55140186915887,22.968741103456132
ENSG00000100276,RASL10A,117.0,9472.0,40.44077,19.636353,1.0058628,48.598130841121495,17.084211125661902
ENSG00000184347,SLIT3,772.0,63997.0,266.83997,132.67183,1.0026758,80.37383177570094,30.248249160166257
ENSG00000110660,SLC35F2,42.0,3254.0,14.5171995,6.74585,1.0023727,22.429906542056074,7.527187838068667
ENSG00000103187,COTL1,95.0,7672.0,32.836525,15.904781,1.0011501,53.271028037383175,16.56038262255879
ENSG00000139318,DUSP6,96.0,7757.0,33.182167,16.080994,1.0008519,43.925233644859816,14.325570802254738
